LocationId,Name,ParentId,Level,Active,IsDeleted,IsShow,Code,ParentName,Path
0,Tuyến TW,0,0,1,0,1,tuyen tw,Tuyến TW,root
100000000,Thành phố Hà Nội,9999999999,1,1,0,1,thanh pho ha noi,Các Tỉnh Thành,root/thanhphohanoi
100100000,Quận Ba Đình,100000000,2,1,0,1,quan ba dinh,Thành phố Hà Nội,root/thanhphohanoi/quanbadinh
100100001,Phường Phúc Xá,100100000,3,1,0,1,phuong phuc xa,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongphucxa
100100004,Phường Trúc Bạch,100100000,3,1,0,1,phuong truc bach,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongtrucbach
100100006,Phường Vĩnh Phúc,100100000,3,1,0,1,phuong vinh phuc,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongvinhphuc
100100007,Phường Cống Vị,100100000,3,1,0,1,phuong cong vi,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongcongvi
100100008,Phường Liễu Giai,100100000,3,1,0,1,phuong lieu giai,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuonglieugiai
100100010,Phường Nguyễn Trung Trực,100100000,3,1,0,1,phuong nguyen trung truc,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongnguyentrungtruc
100100013,Phường Quán Thánh,100100000,3,1,0,1,phuong quan thanh,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongquanthanh
100100016,Phường Ngọc Hà,100100000,3,1,0,1,phuong ngoc ha,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongngocha
100100019,Phường Điện Biên,100100000,3,1,0,1,phuong dien bien,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongdienbien
100100022,Phường Đội Cấn,100100000,3,1,0,1,phuong doi can,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongdoican
100100025,Phường Ngọc Khánh,100100000,3,1,0,1,phuong ngoc khanh,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongngockhanh
100100028,Phường Kim Mã,100100000,3,1,0,1,phuong kim ma,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongkimma
100100031,Phường Giảng Võ,100100000,3,1,0,1,phuong giang vo,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuonggiangvo
100100034,Phường Thành Công,100100000,3,1,0,1,phuong thanh cong,Quận Ba Đình,root/thanhphohanoi/quanbadinh/phuongthanhcong
100200000,Quận Hoàn Kiếm,100000000,2,1,0,1,quan hoan kiem,Thành phố Hà Nội,root/thanhphohanoi/quanhoankiem
100200037,Phường Phúc Tân,100200000,3,1,0,1,phuong phuc tan,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuongphuctan
100200040,Phường Đồng Xuân,100200000,3,1,0,1,phuong dong xuan,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuongdongxuan
100200043,Phường Hàng Mã,100200000,3,1,0,1,phuong hang ma,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonghangma
100200046,Phường Hàng Buồm,100200000,3,1,0,1,phuong hang buom,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonghangbuom
100200049,Phường Hàng Đào,100200000,3,1,0,1,phuong hang dao,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonghangdao
100200052,Phường Hàng Bồ,100200000,3,1,0,1,phuong hang bo,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonghangbo
100200055,Phường Cửa Đông,100200000,3,1,0,1,phuong cua dong,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuongcuadong
100200058,Phường Lý Thái Tổ,100200000,3,1,0,1,phuong ly thai to,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonglythaito
100200061,Phường Hàng Bạc,100200000,3,1,0,1,phuong hang bac,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonghangbac
100200064,Phường Hàng Gai,100200000,3,1,0,1,phuong hang gai,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonghanggai
100200067,Phường Chương Dương Độ,100200000,3,1,0,1,phuong chuong duong do,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuongchuongduongdo
100200070,Phường Hàng Trống,100200000,3,1,0,1,phuong hang trong,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonghangtrong
100200073,Phường Cửa Nam,100200000,3,1,0,1,phuong cua nam,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuongcuanam
100200076,Phường Hàng Bông,100200000,3,1,0,1,phuong hang bong,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuonghangbong
100200079,Phường Tràng Tiền,100200000,3,1,0,1,phuong trang tien,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuongtrangtien
100200082,Phường Trần Hưng Đạo,100200000,3,1,0,1,phuong tran hung dao,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuongtranhungdao
100200085,Phường Phan Chu Trinh,100200000,3,1,0,1,phuong phan chu trinh,Quận Hoàn Kiếm,root/thanhphohanoi/quanhoankiem/phuongphanchutrinh
